date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:39:57	112631/112631	---M-Z	200	added ('OK')	text/html	etag:W/%221aa9e-616LI7aq80++Ji9Fd3GYC/0U9o8%22	https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/index.html	(from )
00:39:57	197/197	---M-Z	200	added ('OK')	text/plain	etag:%2260e79d86-2aa%22	https://gestion.pe/robots.txt		(from )
00:39:58	195966/195966	---M-Z	200	added ('OK')	text/css	etag:W/%2254d2bac30c29fe6d08b7e172ad70b70f%22	https://cdnc.gestion.pe/dist/gestion/css/style.css?d=2252	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/cdnc.gestion.pe/dist/gestion/css/stylecc05.css	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:39:59	1265/1265	---M--	200	added ('OK')	binary/octet-stream	etag:%226606853bcf49fcbbc330c1d04b5ba7eb%22	https://cdna.gestion.pe/resources/dist/gestion/images/favicon.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/cdna.gestion.pe/resources/dist/gestion/images/favicon2d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:39:59	1128/1128	---M--	200	added ('OK')	binary/octet-stream	etag:%22c167559af0a3529cf3200a53ef343034%22	https://cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon2d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:39:59	1518/1518	---M--	200	added ('OK')	binary/octet-stream	etag:%2204268c8c1b15df5476303b78b0898af2%22	https://cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-76x76.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-76x762d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:00	1876/1876	---M--	200	added ('OK')	binary/octet-stream	etag:%224934e7a346277250884c5282df833304%22	https://cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-120x120.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-120x1202d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:00	2461/2461	---M--	200	added ('OK')	binary/octet-stream	etag:%2291af63b3ef7e6256237b02158d1eb981%22	https://cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-144x144.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-144x1442d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:00	2590/2590	---M--	200	added ('OK')	binary/octet-stream	etag:%2256498aaaff1e84a196e6a1a5de030256%22	https://cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-152x152.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-152x1522d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:00	3300/3300	---M--	200	added ('OK')	binary/octet-stream	etag:%22b2dc60f9b927fca27ff4a27499786ad9%22	https://cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-180x180.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-180x1802d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
